claim_id,claim_language,gold_label,source,claim_text,model,raw_response,verdict
et_2594,estonian_native,fake,euvsdisinfo-native,Military maneuvers in Estonia are held as part of the Spring Storm exercise. The members of the NATO bloc are working out the scenario of an attack on Russia. Great Britain and France have transferred,deepseek/deepseek-v4-flash,FAKE,FAKE
et_11118,estonian_native,fake,euvsdisinfo-native,"In the Estonian military town of Tapa, a new military base was opened for NATO Defence Force soldiers and its construction cost 43 million euros. They want to deploy more military equipment near the R",google/gemini-2.5-flash-lite,REAL,REAL
et_11118,estonian_native,fake,euvsdisinfo-native,"In the Estonian military town of Tapa, a new military base was opened for NATO Defence Force soldiers and its construction cost 43 million euros. They want to deploy more military equipment near the R",deepseek/deepseek-v4-flash,REAL,REAL
et_8050,estonian_native,fake,euvsdisinfo-native,"If the massive flow of Ukrainians going to Estonia to work there continues, a choice has to be made: either continue the ideological support for the children of Maidan or preserve the Estonian mother-",google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_8050,estonian_native,fake,euvsdisinfo-native,"If the massive flow of Ukrainians going to Estonia to work there continues, a choice has to be made: either continue the ideological support for the children of Maidan or preserve the Estonian mother-",deepseek/deepseek-v4-flash,UNCERTAIN,UNCERTAIN
et_2077,estonian_native,fake,euvsdisinfo-native,The West groundlessly accuses Russia of interference in domestic politics and cyber-attacks.,google/gemini-2.5-flash-lite,REAL,REAL
et_2077,estonian_native,fake,euvsdisinfo-native,The West groundlessly accuses Russia of interference in domestic politics and cyber-attacks.,deepseek/deepseek-v4-flash,FAKE,FAKE
et_7289,estonian_native,fake,euvsdisinfo-native,"We regard the actions of the regime in Estonia towards its citizens as public persecution, anarchy in the rule of law, indication of totalitarianism and a gross infringement on the principles of freed",google/gemini-2.5-flash-lite,FAKE,FAKE
et_7289,estonian_native,fake,euvsdisinfo-native,"We regard the actions of the regime in Estonia towards its citizens as public persecution, anarchy in the rule of law, indication of totalitarianism and a gross infringement on the principles of freed",deepseek/deepseek-v4-flash,FAKE,FAKE
et_14113,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,google/gemini-2.5-flash-lite,FAKE,FAKE
et_14113,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,deepseek/deepseek-v4-flash,FAKE,FAKE
et_2377,estonian_native,fake,euvsdisinfo-native,NATO is violating the agreements and deploying 'substantial combat forces' on the territory of countries that have just recently joined the bloc.,google/gemini-2.5-flash-lite,REAL,REAL
et_2377,estonian_native,fake,euvsdisinfo-native,NATO is violating the agreements and deploying 'substantial combat forces' on the territory of countries that have just recently joined the bloc.,deepseek/deepseek-v4-flash,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
