claim_id,claim_language,gold_label,claim_text,wiki_context,model,condition,raw_response,verdict
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",No relevant context found.,deepseek/deepseek-v4-flash,without_context,FAKE,FAKE
2550,english,fake,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
2550,english,fake,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ",No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
2550,english,fake,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
2550,english,fake,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ",No relevant context found.,deepseek/deepseek-v4-flash,without_context,FAKE,FAKE
2550,estonian,fake,"Võlts Twitteri konto nimega Republic Poll tõmbab oma vastuolulise küsitluse tõttu netikoijate viha. Paljud Twitteri kasutajad, sealhulgas ajakirjanikud, peavad seda kontot kanali ametlikuks kontoks.",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
2550,estonian,fake,"Võlts Twitteri konto nimega Republic Poll tõmbab oma vastuolulise küsitluse tõttu netikoijate viha. Paljud Twitteri kasutajad, sealhulgas ajakirjanikud, peavad seda kontot kanali ametlikuks kontoks.",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
2550,estonian,fake,"Võlts Twitteri konto nimega Republic Poll tõmbab oma vastuolulise küsitluse tõttu netikoijate viha. Paljud Twitteri kasutajad, sealhulgas ajakirjanikud, peavad seda kontot kanali ametlikuks kontoks.",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
2550,estonian,fake,"Võlts Twitteri konto nimega Republic Poll tõmbab oma vastuolulise küsitluse tõttu netikoijate viha. Paljud Twitteri kasutajad, sealhulgas ajakirjanikud, peavad seda kontot kanali ametlikuks kontoks.",No relevant context found.,deepseek/deepseek-v4-flash,without_context,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",No relevant context found.,deepseek/deepseek-v4-flash,without_context,REAL,REAL
4258,english,fake,"Mahindra attracted the attention of critics after its tweet said that the reusable and washable mask had the ability to ""reduce the virus"". These masks are being manufactured by a company called Livin",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4258,english,fake,"Mahindra attracted the attention of critics after its tweet said that the reusable and washable mask had the ability to ""reduce the virus"". These masks are being manufactured by a company called Livin",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
4258,english,fake,"Mahindra attracted the attention of critics after its tweet said that the reusable and washable mask had the ability to ""reduce the virus"". These masks are being manufactured by a company called Livin",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4258,english,fake,"Mahindra attracted the attention of critics after its tweet said that the reusable and washable mask had the ability to ""reduce the virus"". These masks are being manufactured by a company called Livin",No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
4258,estonian,fake,"Mahindra äratas kriitikute tähelepanu pärast seda, kui selle säuts ütles, et korduvkasutataval ja pestaval maskil on võime ""viirust vähendada"". Neid maske toodab ettevõte nimega LivingGuard, mille juh",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4258,estonian,fake,"Mahindra äratas kriitikute tähelepanu pärast seda, kui selle säuts ütles, et korduvkasutataval ja pestaval maskil on võime ""viirust vähendada"". Neid maske toodab ettevõte nimega LivingGuard, mille juh",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
4258,estonian,fake,"Mahindra äratas kriitikute tähelepanu pärast seda, kui selle säuts ütles, et korduvkasutataval ja pestaval maskil on võime ""viirust vähendada"". Neid maske toodab ettevõte nimega LivingGuard, mille juh",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4258,estonian,fake,"Mahindra äratas kriitikute tähelepanu pärast seda, kui selle säuts ütles, et korduvkasutataval ja pestaval maskil on võime ""viirust vähendada"". Neid maske toodab ettevõte nimega LivingGuard, mille juh",No relevant context found.,deepseek/deepseek-v4-flash,without_context,REAL,REAL
4344,hindi,fake,संजय राऊत का आयुर्वेदिक अंडे पर ज्ञान।शिवसेना के ऐसे नेताओं की सोच ने ही आज पार्टी को निम्न स्तर पर पहुंचा दिया।,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4344,hindi,fake,संजय राऊत का आयुर्वेदिक अंडे पर ज्ञान।शिवसेना के ऐसे नेताओं की सोच ने ही आज पार्टी को निम्न स्तर पर पहुंचा दिया।,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
4344,hindi,fake,संजय राऊत का आयुर्वेदिक अंडे पर ज्ञान।शिवसेना के ऐसे नेताओं की सोच ने ही आज पार्टी को निम्न स्तर पर पहुंचा दिया।,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4344,hindi,fake,संजय राऊत का आयुर्वेदिक अंडे पर ज्ञान।शिवसेना के ऐसे नेताओं की सोच ने ही आज पार्टी को निम्न स्तर पर पहुंचा दिया।,No relevant context found.,deepseek/deepseek-v4-flash,without_context,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
4344,english,fake,Sanjay Raut's knowledge on Ayurvedic eggs. The thinking of such Shiv Sena leaders has brought the party to a low level today.,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4344,english,fake,Sanjay Raut's knowledge on Ayurvedic eggs. The thinking of such Shiv Sena leaders has brought the party to a low level today.,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
4344,english,fake,Sanjay Raut's knowledge on Ayurvedic eggs. The thinking of such Shiv Sena leaders has brought the party to a low level today.,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4344,english,fake,Sanjay Raut's knowledge on Ayurvedic eggs. The thinking of such Shiv Sena leaders has brought the party to a low level today.,No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
4344,estonian,fake,Sanjay Rauti teadmised Ayurveda munadest. Selliste Shiv Sena juhtide mõtlemine on viinud erakonna tänaseks madalale tasemele.,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
4344,estonian,fake,Sanjay Rauti teadmised Ayurveda munadest. Selliste Shiv Sena juhtide mõtlemine on viinud erakonna tänaseks madalale tasemele.,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
4344,estonian,fake,Sanjay Rauti teadmised Ayurveda munadest. Selliste Shiv Sena juhtide mõtlemine on viinud erakonna tänaseks madalale tasemele.,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
4344,estonian,fake,Sanjay Rauti teadmised Ayurveda munadest. Selliste Shiv Sena juhtide mõtlemine on viinud erakonna tänaseks madalale tasemele.,No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
5273,hindi,fake,"व्हुआन मार्केट। चाइना, #कोरोना वायरस की उत्पत्ति।",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
5273,hindi,fake,"व्हुआन मार्केट। चाइना, #कोरोना वायरस की उत्पत्ति।",No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
5273,hindi,fake,"व्हुआन मार्केट। चाइना, #कोरोना वायरस की उत्पत्ति।",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
5273,hindi,fake,"व्हुआन मार्केट। चाइना, #कोरोना वायरस की उत्पत्ति।",No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
5273,english,fake,"Whuan Market. China, the origin of #coronavirus.",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
5273,english,fake,"Whuan Market. China, the origin of #coronavirus.",No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
5273,english,fake,"Whuan Market. China, the origin of #coronavirus.",No relevant context found.,deepseek/deepseek-v4-flash,with_context,FAKE,FAKE
5273,english,fake,"Whuan Market. China, the origin of #coronavirus.",No relevant context found.,deepseek/deepseek-v4-flash,without_context,FAKE,FAKE
5273,estonian,fake,"Whuani turg. Hiina, #koronaviiruse päritolu.",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
5273,estonian,fake,"Whuani turg. Hiina, #koronaviiruse päritolu.",No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
5273,estonian,fake,"Whuani turg. Hiina, #koronaviiruse päritolu.",No relevant context found.,deepseek/deepseek-v4-flash,with_context,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
5273,estonian,fake,"Whuani turg. Hiina, #koronaviiruse päritolu.",No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
