claim_id,model,prompt_strategy,verdict_hindi,verdict_english,verdict_estonian,consistent,n_unique
153,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,deepseek/deepseek-v4-flash,chain_of_thought,FAKE,UNPARSEABLE,REAL,False,2
298,deepseek/deepseek-v4-flash,persona,UNCERTAIN,FAKE,UNPARSEABLE,False,2
298,deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,FAKE,FAKE,False,2
298,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
298,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,google/gemini-2.5-flash-lite,zero_shot,FAKE,UNCERTAIN,FAKE,False,2
298,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
298,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNCERTAIN,UNPARSEABLE,True,1
372,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,UNCERTAIN,UNPARSEABLE,True,1
372,deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
372,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
372,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
372,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,REAL,UNPARSEABLE,True,1
466,deepseek/deepseek-v4-flash,persona,REAL,UNPARSEABLE,REAL,True,1
466,deepseek/deepseek-v4-flash,zero_shot,REAL,REAL,REAL,True,1
466,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
466,google/gemini-2.5-flash-lite,zero_shot,REAL,REAL,REAL,True,1
466,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
466,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,FAKE,True,1
1266,deepseek/deepseek-v4-flash,persona,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
1266,deepseek/deepseek-v4-flash,zero_shot,FAKE,UNPARSEABLE,FAKE,True,1
1266,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,google/gemini-2.5-flash-lite,zero_shot,FAKE,FAKE,UNCERTAIN,False,2
1266,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1266,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,FAKE,FAKE,True,1
1806,deepseek/deepseek-v4-flash,zero_shot,FAKE,UNCERTAIN,FAKE,False,2
1806,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,google/gemini-2.5-flash-lite,zero_shot,FAKE,UNCERTAIN,FAKE,False,2
1806,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
1806,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNCERTAIN,True,1
2380,deepseek/deepseek-v4-flash,persona,REAL,UNPARSEABLE,UNPARSEABLE,True,1
2380,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,FAKE,FAKE,True,1
2380,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,google/gemini-2.5-flash-lite,persona,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
2380,google/gemini-2.5-flash-lite,zero_shot,REAL,REAL,REAL,True,1
2380,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2380,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,FAKE,True,1
2550,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,REAL,UNPARSEABLE,True,1
2550,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,REAL,UNCERTAIN,False,2
2550,google/gemini-2.5-flash-lite,chain_of_thought,FAKE,FAKE,FAKE,True,1
2550,google/gemini-2.5-flash-lite,persona,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
2550,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
2550,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
2550,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,deepseek/deepseek-v4-flash,chain_of_thought,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
3364,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
3364,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,FAKE,UNCERTAIN,False,2
3364,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,google/gemini-2.5-flash-lite,zero_shot,REAL,REAL,REAL,True,1
3364,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3364,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,deepseek/deepseek-v4-flash,chain_of_thought,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
3509,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
3509,deepseek/deepseek-v4-flash,zero_shot,FAKE,UNCERTAIN,FAKE,False,2
3509,google/gemini-2.5-flash-lite,chain_of_thought,FAKE,UNPARSEABLE,UNPARSEABLE,True,1
3509,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
3509,google/gemini-2.5-flash-lite,zero_shot,FAKE,FAKE,UNCERTAIN,False,2
3509,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3509,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,FAKE,True,1
3700,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
3700,deepseek/deepseek-v4-flash,zero_shot,FAKE,FAKE,UNPARSEABLE,True,1
3700,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
3700,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
3700,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,REAL,REAL,True,1
4258,deepseek/deepseek-v4-flash,zero_shot,REAL,REAL,UNCERTAIN,False,2
4258,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,google/gemini-2.5-flash-lite,zero_shot,REAL,REAL,REAL,True,1
4258,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4258,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
4262,deepseek/deepseek-v4-flash,persona,UNCERTAIN,FAKE,FAKE,False,2
4262,deepseek/deepseek-v4-flash,zero_shot,FAKE,UNCERTAIN,FAKE,False,2
4262,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
4262,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4262,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNCERTAIN,True,1
4344,deepseek/deepseek-v4-flash,persona,FAKE,UNPARSEABLE,UNCERTAIN,False,2
4344,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,UNCERTAIN,UNPARSEABLE,True,1
4344,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
4344,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4344,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,deepseek/deepseek-v4-flash,persona,FAKE,FAKE,FAKE,True,1
4394,deepseek/deepseek-v4-flash,zero_shot,FAKE,FAKE,UNPARSEABLE,True,1
4394,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,google/gemini-2.5-flash-lite,zero_shot,REAL,FAKE,FAKE,False,2
4394,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4394,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
4888,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,FAKE,FAKE,True,1
4888,deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,FAKE,UNPARSEABLE,False,2
4888,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,google/gemini-2.5-flash-lite,zero_shot,UNPARSEABLE,UNCERTAIN,UNPARSEABLE,True,1
4888,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
4888,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,deepseek/deepseek-v4-flash,persona,FAKE,FAKE,FAKE,True,1
5212,deepseek/deepseek-v4-flash,zero_shot,FAKE,FAKE,UNPARSEABLE,True,1
5212,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,google/gemini-2.5-flash-lite,zero_shot,FAKE,FAKE,FAKE,True,1
5212,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5212,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,deepseek/deepseek-v4-flash,chain_of_thought,UNCERTAIN,UNPARSEABLE,UNPARSEABLE,True,1
5273,deepseek/deepseek-v4-flash,persona,FAKE,UNCERTAIN,UNPARSEABLE,False,2
5273,deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,UNCERTAIN,UNPARSEABLE,True,1
5273,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,1
5273,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5273,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,FAKE,True,1
5583,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
5583,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,UNPARSEABLE,FAKE,True,1
5583,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,google/gemini-2.5-flash-lite,zero_shot,FAKE,UNCERTAIN,UNCERTAIN,False,2
5583,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
5583,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
